London,"('London', 'Stockholm', 'Amsterdam')","('London', 'Stockholm', 'Amsterdam')"
Stockholm,"('London', 'Stockholm', 'Rome')","('London', 'Stockholm', 'Rome')"
Amsterdam,"('London', 'Stockholm', 'Paris')","('London', 'Stockholm', 'Paris')"
Rome,"('London', 'Stockholm', 'Montreal')","('London', 'Stockholm', 'Montreal')"
Paris,"('London', 'Stockholm', 'Tokyo')","('London', 'Stockholm', 'Tokyo')"
Montreal,"('London', 'Stockholm', 'Melbourne')","('London', 'Stockholm', 'Melbourne')"
Tokyo,"('London', 'Stockholm', 'Atlanta')","('London', 'Stockholm', 'Atlanta')"
Melbourne,"('London', 'Stockholm', 'Beijing')","('London', 'Stockholm', 'Beijing')"
Atlanta,"('London', 'Stockholm', 'Moscow')","('London', 'Stockholm', 'Moscow')"
Beijing,"('London', 'Stockholm', 'Barcelona')","('London', 'Stockholm', 'Barcelona')"
Moscow,"('London', 'Stockholm', 'Berlin')","('London', 'Stockholm', 'Berlin')"
Barcelona,"('London', 'Stockholm', 'Athens')","('London', 'Stockholm', 'Athens')"
Berlin,"('London', 'Stockholm', 'Antwerp')","('London', 'Stockholm', 'Antwerp')"
Athens,"('London', 'Stockholm', 'St. Louis')","('London', 'Stockholm', 'St. Louis')"
Antwerp,"('London', 'Stockholm', 'Sydney')","('London', 'Stockholm', 'Sydney')"
St. Louis,"('London', 'Stockholm', 'Rio')","('London', 'Stockholm', 'Rio')"
Sydney,"('London', 'Stockholm', 'Munich')","('London', 'Stockholm', 'Munich')"
Rio,"('London', 'Stockholm', 'Los Angeles')","('London', 'Stockholm', 'Los Angeles')"
Munich,"('London', 'Stockholm', 'Seoul')","('London', 'Stockholm', 'Seoul')"
Los Angeles,"('London', 'Stockholm', 'Helsinki')","('London', 'Stockholm', 'Helsinki')"
Seoul,"('London', 'Stockholm', 'Mexico City')","('London', 'Stockholm', 'Mexico City')"
Helsinki,"('London', 'Amsterdam', 'Stockholm')","('London', 'Amsterdam', 'Rome')"
Mexico City,"('London', 'Amsterdam', 'Rome')","('London', 'Amsterdam', 'Paris')"
,"('London', 'Amsterdam', 'Paris')","('London', 'Amsterdam', 'Montreal')"
,"('London', 'Amsterdam', 'Montreal')","('London', 'Amsterdam', 'Tokyo')"
,"('London', 'Amsterdam', 'Tokyo')","('London', 'Amsterdam', 'Melbourne')"
,"('London', 'Amsterdam', 'Melbourne')","('London', 'Amsterdam', 'Atlanta')"
,"('London', 'Amsterdam', 'Atlanta')","('London', 'Amsterdam', 'Beijing')"
,"('London', 'Amsterdam', 'Beijing')","('London', 'Amsterdam', 'Moscow')"
,"('London', 'Amsterdam', 'Moscow')","('London', 'Amsterdam', 'Barcelona')"
,"('London', 'Amsterdam', 'Barcelona')","('London', 'Amsterdam', 'Berlin')"
,"('London', 'Amsterdam', 'Berlin')","('London', 'Amsterdam', 'Athens')"
,"('London', 'Amsterdam', 'Athens')","('London', 'Amsterdam', 'Antwerp')"
,"('London', 'Amsterdam', 'Antwerp')","('London', 'Amsterdam', 'St. Louis')"
,"('London', 'Amsterdam', 'St. Louis')","('London', 'Amsterdam', 'Sydney')"
,"('London', 'Amsterdam', 'Sydney')","('London', 'Amsterdam', 'Rio')"
,"('London', 'Amsterdam', 'Rio')","('London', 'Amsterdam', 'Munich')"
,"('London', 'Amsterdam', 'Munich')","('London', 'Amsterdam', 'Los Angeles')"
,"('London', 'Amsterdam', 'Los Angeles')","('London', 'Amsterdam', 'Seoul')"
,"('London', 'Amsterdam', 'Seoul')","('London', 'Amsterdam', 'Helsinki')"
,"('London', 'Amsterdam', 'Helsinki')","('London', 'Amsterdam', 'Mexico City')"
,"('London', 'Amsterdam', 'Mexico City')","('London', 'Rome', 'Paris')"
,"('London', 'Rome', 'Stockholm')","('London', 'Rome', 'Montreal')"
,"('London', 'Rome', 'Amsterdam')","('London', 'Rome', 'Tokyo')"
,"('London', 'Rome', 'Paris')","('London', 'Rome', 'Melbourne')"
,"('London', 'Rome', 'Montreal')","('London', 'Rome', 'Atlanta')"
,"('London', 'Rome', 'Tokyo')","('London', 'Rome', 'Beijing')"
,"('London', 'Rome', 'Melbourne')","('London', 'Rome', 'Moscow')"
,"('London', 'Rome', 'Atlanta')","('London', 'Rome', 'Barcelona')"
,"('London', 'Rome', 'Beijing')","('London', 'Rome', 'Berlin')"
,"('London', 'Rome', 'Moscow')","('London', 'Rome', 'Athens')"
,"('London', 'Rome', 'Barcelona')","('London', 'Rome', 'Antwerp')"
,"('London', 'Rome', 'Berlin')","('London', 'Rome', 'St. Louis')"
,"('London', 'Rome', 'Athens')","('London', 'Rome', 'Sydney')"
,"('London', 'Rome', 'Antwerp')","('London', 'Rome', 'Rio')"
,"('London', 'Rome', 'St. Louis')","('London', 'Rome', 'Munich')"
,"('London', 'Rome', 'Sydney')","('London', 'Rome', 'Los Angeles')"
,"('London', 'Rome', 'Rio')","('London', 'Rome', 'Seoul')"
