,0,1,2,Year,Male_Athletes,Female_Athletes,Total_Athletes
"(0, 241)",1.0,0.034482758620689655,1.0,,,,
"(6, 645)",1.0,0.034482758620689655,1.0,,,,
"(22, 975)",1.0,0.034482758620689655,1.0,,,,
"(37, 1971)",1.0,0.034482758620689655,1.0,,,,
"(48, 2359)",1.0,0.034482758620689655,1.0,,,,
"(65, 2561)",1.0,0.034482758620689655,1.0,,,,
"(126, 1206)",1.0,0.034482758620689655,1.0,,,,
"(135, 2954)",1.0,0.034482758620689655,1.0,,,,
"(277, 2606)",1.0,0.034482758620689655,1.0,,,,
"(331, 3632)",1.0,0.034482758620689655,1.0,,,,
"(376, 2938)",1.0,0.034482758620689655,1.0,,,,
"(390, 3714)",1.0,0.034482758620689655,1.0,,,,
"(519, 4436)",1.0,0.034482758620689655,1.0,,,,
"(611, 4727)",1.0,0.034482758620689655,1.0,,,,
"(678, 4473)",1.0,0.034482758620689655,1.0,,,,
"(781, 4435)",1.0,0.034482758620689655,1.0,,,,
"(1059, 6075)",1.0,0.034482758620689655,1.0,,,,
"(1115, 4064)",1.0,0.034482758620689655,1.0,,,,
"(1260, 4824)",1.0,0.034482758620689655,1.0,,,,
"(1566, 5263)",1.0,0.034482758620689655,1.0,,,,
"(2194, 6197)",1.0,0.034482758620689655,1.0,,,,
"(2704, 6652)",1.0,0.034482758620689655,1.0,,,,
"(3512, 6806)",1.0,0.034482758620689655,1.0,,,,
"(4069, 6582)",1.0,0.034482758620689655,1.0,,,,
"(4329, 6296)",1.0,0.034482758620689655,1.0,,,,
"(4637, 6305)",1.0,0.034482758620689655,1.0,,,,
"(4676, 5892)",1.0,0.034482758620689655,1.0,,,,
"(5059, 6179)",1.0,0.034482758620689655,1.0,,,,
"(5386, 5651)",1.0,0.034482758620689655,1.0,,,,
count,,,,29.0,29.0,29.0,29.0
mean,,,,1960.551724137931,4160.6551724137935,1585.103448275862,5745.758620689655
std,,,,38.347644933179176,1987.5631036857685,1827.379649053091,3597.4532723578263
min,,,,1896.0,241.0,0.0,241.0
25%,,,,1928.0,2606.0,135.0,2883.0
50%,,,,1964.0,4436.0,678.0,5179.0
75%,,,,1992.0,6075.0,2704.0,9356.0
max,,,,2020.0,6806.0,5386.0,11238.0
