,Year,Location,Male_Athletes,Female_Athletes,Total_Athletes
11,1952,Helsinki,4436,519,4955
12,1956,Melbourne,2938,376,3314
13,1960,Rome,4727,611,5338
14,1964,Tokyo,4473,678,5151
15,1968,Mexico City,4435,781,5216
16,1972,Munich,6075,1059,7134
17,1976,Montreal,4824,1260,6084
18,1980,Moscow,4064,1115,5179
19,1984,Los Angeles,5263,1566,6829
20,1988,Seoul,6197,2194,8391
21,1992,Barcelona,6652,2704,9356
22,1996,Atlanta,6806,3512,10318
23,2000,Sydney,6582,4069,10651
24,2004,Athens,6296,4329,10625
25,2008,Beijing,6305,4637,10942
26,2012,London,5892,4676,10568
27,2016,Rio,6179,5059,11238
28,2020,Tokyo,5651,5386,11037
